Id,Firstname,Lastname,Sex,Address,Postcode,Pref_1,Pref_2,Pref_3,Pref_4,Pref_5,Latitude,Longitude,Email
1,Hayley,Reichel-Watsica,Male,"1 Boyce'S Ave, Clifton, Bristol ",BS8 4AA,Healthcare,Environment,Elderly Care,Religious,Disaster Relief,51.4553527,-2.6183848,hayley.reichel-watsica@gmail.com
2,Haylie,Macejkovic,Male,"Gas Ferry Rd, Bristol ",BS1 6TY,Animals,Poverty,Disaster Relief,Elderly Care,Religious,51.4492475,-2.6080127,haylie.macejkovic@gmail.com
3,Vernie,Lesch,Male,"59 Broad St, Bristol ",BS1 2EJ,Environment,Elderly Care,Human Rights,Women,Healthcare,51.4551686,-2.5931519,vernie.lesch@gmail.com
4,Austyn,Turner,Female,"23 Small St, Bristol ",BS1 1DW,Religious,Education,Poverty,Disaster Relief,Human Rights,51.4548478,-2.5943423,austyn.turner@gmail.com
5,Bartholome,Jerde,Male,"29 Victoria St, Redcliffe, Bristol ",BS1 6AA,Animals,Poverty,Environment,Healthcare,Women,51.4526952,-2.5897091,bartholome.jerde@gmail.com
6,Casper,Walter,Female,"56 Corn St, Bristol ",BS1 1JG,Healthcare,Environment,Elderly Care,Women,Poverty,51.45482730000001,-2.5930755,casper.walter@gmail.com
7,Malachi,Mueller,Female,"Prince St, Bristol ",BS1 4QA,Poverty,Education,Environment,Human Rights,Women,51.44985399999999,-2.5972936,malachi.mueller@gmail.com
8,Janie,Runolfsdottir,Male,"Cannon St, Bristol ",BS1 3NZ,Poverty,Human Rights,Women,Education,Healthcare,51.4586852,-2.5930104,janie.runolfsdottir@gmail.com
9,Bradley,Aufderhar,Male,"45 St Nicholas St, Bristol ",BS1 1TP,Environment,Animals,Disaster Relief,Women,Elderly Care,51.4537217,-2.5947788,bradley.aufderhar@gmail.com
10,Fredy,Schulist,Male,"Arch 35 Lower Approach Rd, Redcliffe, Bristol ",BS1 6QS,Healthcare,Religious,Poverty,Women,Animals,51.4489938,-2.5818764,fredy.schulist@gmail.com
11,Dangelo,Ratke,Female,"40 The Grove, Bristol ",BS1 4RB,Women,Religious,Education,Human Rights,Environment,51.44902279999999,-2.5939934,dangelo.ratke@gmail.com
12,Rosella,Fisher,Male,"2 Picton St, Montpelier, Bristol ",BS6 5QA,Animals,Poverty,Disaster Relief,Elderly Care,Education,51.4653601,-2.5888789,rosella.fisher@gmail.com
13,Crystal,Von,Male,"54 Union St, Broadmead, Bristol ",BS1 2DL,Religious,Women,Human Rights,Healthcare,Environment,51.4573507,-2.5919568,crystal.von@gmail.com
14,Judson,Walsh,Female,"3 Worrall Rd, Clifton, Bristol ",BS8 2UF,Disaster Relief,Healthcare,Women,Elderly Care,Education,51.46925510000001,-2.6148156,judson.walsh@gmail.com
15,Teagan,Nitzsche,Female,"John Wesley'S Chapel, 36 The Horsefair, Broadmead, Bristol ",BS1 3JE,Education,Healthcare,Disaster Relief,Human Rights,Elderly Care,51.45831399999999,-2.5899541,teagan.nitzsche@gmail.com
16,Matt,Ankunding,Male,"Farr'S Ln, Narrow Quay, Bristol ",BS1 4BB,Animals,Women,Religious,Environment,Disaster Relief,51.4498963,-2.5972714,matt.ankunding@gmail.com
17,Jaida,Lockman,Male,"32 Stokes Croft, St Paul'S, Bristol ",BS1 3QD,Healthcare,Women,Elderly Care,Animals,Human Rights,51.4616665,-2.590242,jaida.lockman@gmail.com
18,Karine,Dicki,Male,"108 Stokes Croft, Cotham, Bristol ",BS1 3RU,Human Rights,Education,Women,Animals,Environment,51.4641251,-2.589482,karine.dicki@gmail.com
19,Fannie,Prohaska,Female,"4, 12 Baldwin St, Bristol ",BS1 1SA,Environment,Women,Poverty,Religious,Human Rights,51.4532633,-2.5964805,fannie.prohaska@gmail.com
